CO2,Speed
736,8.45
588,25.77
588,25.62
583,16.67
588,26.04
583,16.92
588,25.83
583,16.83
588,25.78
588,25.54
588,25.95
583,16.42
584,17.21
738,31.48
583,15.79
584,17.1
738,31.45
584,17.06
583,16.63
584,17.18
738,31.28
583,14.64
583,14.19
583,15.24
583,14.83
585,18.38
736,9.12
585,18.55
736,8.28
584,17.54
735,9.67
584,17.9
585,18.02
735,9.39
585,18.25
735,9.31
583,14.33
740,30.32
583,14.03
739,30.41
583,14.2
740,30.5
738,31.15
739,30.88
738,31.52
738,31.15
583,14.29
585,18.31
738,28.74
583,14.43
585,18.21
738,28.92
583,14.27
585,17.97
583,14.23
585,17.76
583,14.43
565,27.24
583,14.17
565,27.12
735,8.88
583,14.45
565,26.84
583,14.43
585,18.48
565,26.92
585,17.44
565,26.95
635,24.62
565,26.81
635,24.39
735,9.23
565,27.04
635,24.51
565,27.1
635,24.29
735,9.23
585,17.41
635,24.07
585,17.37
635,23.85
735,6.83
585,17.43
565,26.61
635,23.85
585,17.42
565,26.59
635,23.95
735,8.44
588,24.09
635,23.84
635,23.72
588,23.91
588,23.76
588,23.85
588,23.89
588,24.86
738,31.02
588,24.46
738,31.16
583,13.86
588,24.3
738,30.43
583,13.8
588,23.99
738,30.87
738,29.89
738,30.31
738,29.4
588,25.18
738,29.51
583,14.67
585,16.72
584,15.01
585,16.64
736,29.43
583,14.24
585,16.53
583,14.39
585,16.43
584,15.55
734,6.38
584,15.62
584,15.27
585,17.2
584,15.53
585,17.03
734,8.45
734,7.22
585,16.39
734,9.85
583,14.1
585,16.47
585,16.47
734,9.5
585,16.3
588,24.84
588,24.99
588,25.22
737,28.53
588,25.49
588,24.33
736,28.61
588,24.38
737,28.56
584,15.39
736,29.16
588,24.39
736,28.86
736,29.27
736,29.06
588,24.17
736,29.54
588,24.07
736,28.98
563,25.35
563,25.51
563,25.1
563,25.19
635,21.82
563,25.63
635,21.97
563,25.23
635,21.75
563,25.67
635,21.87
563,25.67
635,21.89
635,22.36
635,22.75
563,25.07
635,22.88
635,23.3
635,23.52
563,24.94
590,21.65
590,21.7
590,21.85
590,21.87
590,21.72
590,21.86
590,21.6
568,30.72
568,30.64
568,30.32
568,28.98
568,30.37
568,29.97
568,30.21
568,29.85
568,30.55
568,30.62
590,21.51
590,21.3
590,21.21
591,22.63
591,22.34
591,22.18
591,21.82
591,21.72
591,21.68
568,27.9
568,28.26
568,29.93
568,30.45
568,28.59
568,29.64
568,27.08
568,28.08
568,28.63
568,28.86
591,21.55
591,21.51
591,21.65
591,21.57
549,21
549,20.44
549,20.11
591,23.6
549,19.73
591,23.7
549,19.31
591,23.66
549,18.83
591,23.56
549,18.61
591,23.77
549,18.01
567,24.62
549,17.73
567,24.37
567,25.06
567,24.78
567,25.39
567,24.79
567,24.77
567,24.82
567,24.46
567,24.72
591,23.57
580,6.56
591,23.57
591,23.53
579,6.2
591,23.37
591,22.86
580,6.84
549,17.21
580,6.58
549,16.55
549,16.44
549,16.09
549,15.49
579,4.83
549,15.32
549,14.96
549,15.2
550,15.23
550,14.81
568,28.33
568,27.55
568,28.81
568,28.36
567,25.59
567,25.48
567,26.04
567,25.78
568,27.35
567,26.09
580,0
589,24.39
589,24.43
589,24.86
589,25.34
589,25.77
589,26.13
589,26.06
589,26.1
589,23.83
589,24.09
580,6.16
580,6.52
580,4.13
580,2
589,20.89
589,21.36
589,21.77
589,22.24
589,22.72
589,23.06
589,23.44
589,23.74
569,27.43
589,20.52
568,27.64
568,27.47
568,27.39
568,26.6
568,27.64
568,27.35
568,27.39
